record_id,date,city,season,temperature,feels_like_temperature,condition,humidity,pressure,wind_speed,cloud_cover,precipitation_probability,uv_index,visibility_km
84,2021-12-15,New York,Fall,6.9,6.9,Partly Cloudy,64,1011,13,44,8,5,19
85,2021-12-20,Toronto,Winter,5.9,1.9,Partly Cloudy,84,991,40,44,29,5,10
86,2021-12-25,Toronto,Spring,12.6,12.6,Partly Cloudy,43,992,17,78,27,5,13
87,2021-12-30,Tokyo,Fall,11.1,6.5,Partly Cloudy,78,1007,43,83,26,6,25
88,2022-01-04,New York,Spring,16.8,14.8,Cloudy,36,980,30,83,36,3,6
89,2022-01-09,Toronto,Fall,1.1,1.1,Partly Cloudy,59,985,12,44,11,5,21
90,2022-01-14,Tokyo,Fall,9.9,8.9,Cloudy,78,987,25,54,57,2,8
91,2022-01-19,Tokyo,Summer,25.5,20.9,Cloudy,45,983,43,58,48,3,6
92,2022-01-24,New York,Spring,17.7,17.7,Sunny,80,984,11,4,7,9,14
93,2022-01-29,Sydney,Winter,5.7,5.7,Partly Cloudy,71,1004,17,31,11,7,23
94,2022-02-03,Singapore,Summer,46.5,46.5,Sunny,46,1001,8,5,7,11,16
95,2022-02-08,Berlin,Summer,30.6,28.3,Rainy,92,1007,48,93,92,1,4
96,2022-02-13,Singapore,Winter,20.5,21.1,Partly Cloudy,74,1018,20,25,7,5,24
97,2022-02-18,Dubai,Summer,50.0,44.6,Partly Cloudy,36,1002,47,36,22,6,20
98,2022-02-23,Berlin,Fall,12.5,6.9,Sunny,56,983,48,12,2,11,16
99,2022-02-28,Dubai,Fall,26.5,22.7,Cloudy,39,983,39,92,35,4,9
100,2022-03-05,Toronto,Spring,17.3,12.9,Cloudy,63,1026,42,68,37,2,11
101,2022-03-10,London,Spring,21.5,20.9,Partly Cloudy,65,1000,23,24,10,7,29
102,2022-03-15,New York,Winter,-3.8,-6.4,Sunny,54,1016,33,12,8,9,29
103,2022-03-20,Berlin,Spring,15.1,15.1,Cloudy,35,1020,7,87,53,4,14
104,2022-03-25,Berlin,Fall,11.4,6.8,Cloudy,53,981,43,94,23,2,8
105,2022-03-30,Toronto,Winter,-7.0,-9.4,Sunny,47,986,32,19,4,10,10
106,2022-04-04,Sydney,Winter,10.5,10.1,Cloudy,35,1028,22,71,33,3,14
107,2022-04-09,Tokyo,Spring,11.4,11.4,Partly Cloudy,58,995,12,59,5,4,11
108,2022-04-14,Toronto,Fall,6.4,0.8,Partly Cloudy,54,996,48,72,26,4,13
109,2022-04-19,Paris,Winter,-1.2,-1.2,Partly Cloudy,84,999,13,20,18,7,14
110,2022-04-24,Tokyo,Fall,15.1,15.1,Partly Cloudy,75,1002,13,60,25,7,11
111,2022-04-29,New York,Fall,15.6,15.6,Partly Cloudy,53,1013,15,83,17,7,11
112,2022-05-04,Tokyo,Fall,22.5,16.9,Cloudy,55,990,48,78,55,2,6
113,2022-05-09,Sydney,Spring,21.0,17.6,Partly Cloudy,57,1013,37,25,10,6,23
114,2022-05-14,Tokyo,Summer,36.3,32.7,Cloudy,32,1012,38,53,28,4,7
115,2022-05-19,New York,Summer,29.0,28.0,Partly Cloudy,67,1005,25,41,5,4,27
116,2022-05-24,Sydney,Winter,16.6,15.6,Sunny,90,981,25,10,5,8,19
117,2022-05-29,Singapore,Fall,26.2,27.7,Partly Cloudy,80,1002,0,36,21,7,15
118,2022-06-03,Berlin,Spring,22.2,21.0,Sunny,77,1020,31,10,6,10,11
119,2022-06-08,Berlin,Fall,14.1,14.1,Partly Cloudy,50,1001,14,26,8,7,29
120,2022-06-13,Dubai,Fall,27.7,29.6,Rainy,83,1013,20,93,65,1,4
121,2022-06-18,Singapore,Spring,20.6,22.8,Rainy,85,994,17,82,98,2,3
122,2022-06-23,Singapore,Summer,41.0,41.9,Partly Cloudy,88,989,29,33,9,6,23
123,2022-06-28,Tokyo,Fall,8.6,8.6,Partly Cloudy,80,994,12,37,13,4,29
124,2022-07-03,Berlin,Fall,10.8,10.2,Partly Cloudy,49,1021,23,60,28,6,22
125,2022-07-08,New York,Summer,44.4,45.3,Cloudy,88,1008,29,86,38,3,11
126,2022-07-13,Mumbai,Spring,25.6,25.6,Cloudy,38,1002,1,52,52,2,9
127,2022-07-18,Mumbai,Winter,5.5,5.5,Cloudy,30,996,18,64,49,2,14
128,2022-07-23,Sydney,Summer,20.8,15.6,Sunny,58,988,46,2,9,7,29
129,2022-07-28,Berlin,Winter,6.2,1.6,Partly Cloudy,92,1029,43,66,12,7,19
130,2022-08-02,Berlin,Winter,12.5,7.3,Partly Cloudy,85,1015,46,27,24,5,28
131,2022-08-07,Mumbai,Summer,37.2,36.4,Sunny,64,988,24,13,6,7,22
132,2022-08-12,Berlin,Fall,-1.1,-6.9,Partly Cloudy,32,995,49,51,8,4,11
133,2022-08-17,Tokyo,Winter,10.8,10.8,Partly Cloudy,36,1015,13,29,27,5,29
134,2022-08-22,Paris,Winter,4.3,4.3,Cloudy,56,1027,5,57,51,4,12
135,2022-08-27,London,Spring,19.6,19.6,Cloudy,30,1012,11,53,20,2,6
136,2022-09-01,Singapore,Fall,25.2,25.6,Cloudy,73,1010,19,68,53,1,13
137,2022-09-06,Dubai,Winter,27.5,27.1,Sunny,70,985,22,14,4,9,11
138,2022-09-11,Sydney,Spring,20.4,18.7,Partly Cloudy,71,989,29,37,18,5,25
139,2022-09-16,Paris,Fall,21.9,20.1,Cloudy,62,995,29,77,45,1,12
140,2022-09-21,Mumbai,Summer,29.0,27.0,Sunny,79,983,37,13,5,9,25
141,2022-09-26,Singapore,Summer,44.6,46.1,Cloudy,92,1001,29,56,53,1,12
142,2022-10-01,Berlin,Spring,7.5,3.5,Cloudy,66,992,40,58,52,3,11
143,2022-10-06,Dubai,Summer,44.1,45.0,Sunny,88,995,29,7,8,7,22
144,2022-10-11,Berlin,Winter,9.1,6.1,Partly Cloudy,77,1008,35,71,17,4,15
145,2022-10-16,New York,Fall,10.4,4.8,Sunny,34,985,48,18,6,11,10
146,2022-10-21,New York,Winter,6.7,4.1,Partly Cloudy,77,1005,33,31,12,7,11
147,2022-10-26,Dubai,Winter,7.9,7.9,Cloudy,32,990,15,94,41,2,11
148,2022-10-31,Dubai,Summer,42.8,43.1,Partly Cloudy,76,1003,23,28,13,7,22
149,2022-11-05,Mumbai,Winter,30.0,33.2,Partly Cloudy,91,1008,13,40,28,4,13
150,2022-11-10,Dubai,Summer,46.5,45.5,Cloudy,43,982,25,74,39,3,13
151,2022-11-15,Tokyo,Fall,13.2,13.2,Partly Cloudy,92,989,7,44,25,5,28
152,2022-11-20,Berlin,Fall,9.0,9.0,Sunny,90,980,13,12,1,9,29
153,2022-11-25,Paris,Winter,9.0,7.0,Partly Cloudy,60,1022,30,26,21,6,12
154,2022-11-30,Toronto,Spring,6.3,6.3,Sunny,46,1005,1,18,5,10,11
155,2022-12-05,Dubai,Summer,50.0,44.6,Partly Cloudy,53,991,47,25,7,5,25
156,2022-12-10,Sydney,Summer,20.8,20.8,Cloudy,52,993,3,52,46,2,14
157,2022-12-15,New York,Winter,-0.5,-0.5,Cloudy,79,1004,0,50,39,2,6
158,2022-12-20,Tokyo,Summer,34.5,34.5,Partly Cloudy,56,987,19,36,21,7,11
159,2022-12-25,Singapore,Summer,29.2,29.2,Sunny,44,1022,13,8,5,9,23
160,2022-12-30,Toronto,Spring,17.4,13.6,Cloudy,79,983,39,91,59,3,8
161,2023-01-04,Paris,Spring,11.5,10.7,Cloudy,65,1007,24,95,33,3,12
162,2023-01-09,Toronto,Winter,-9.3,-10.1,Cloudy,37,986,24,51,29,2,12
163,2023-01-14,Dubai,Spring,25.8,25.8,Cloudy,32,989,2,53,34,1,12
164,2023-01-19,Mumbai,Winter,24.1,27.2,Sunny,91,1015,4,2,7,10,17
165,2023-01-24,New York,Fall,14.0,10.6,Cloudy,76,981,37,95,22,2,11
166,2023-01-29,New York,Winter,13.4,12.4,Cloudy,90,1005,25,68,34,4,10
167,2023-02-03,Singapore,Fall,27.7,23.9,Sunny,61,1029,39,7,6,7,16
168,2023-02-08,Mumbai,Winter,2.8,-0.6,Sunny,42,993,37,13,2,10,22
169,2023-02-13,Berlin,Summer,21.5,18.1,Sunny,30,995,37,2,5,9,24
170,2023-02-18,London,Spring,18.6,18.6,Partly Cloudy,63,1022,3,23,24,4,23
171,2023-02-23,Tokyo,Fall,17.6,17.6,Sunny,91,1021,6,12,5,8,14
172,2023-02-28,New York,Winter,14.5,12.7,Partly Cloudy,60,996,29,42,11,5,17
173,2023-03-05,Sydney,Spring,20.0,18.2,Partly Cloudy,93,1025,29,28,28,4,27
174,2023-03-10,New York,Winter,10.6,10.6,Cloudy,54,1001,18,71,33,4,9
175,2023-03-15,Toronto,Spring,14.4,10.8,Cloudy,67,983,38,50,23,2,11
176,2023-03-20,New York,Spring,13.4,10.6,Partly Cloudy,43,998,34,41,13,4,18
177,2023-03-25,New York,Winter,1.3,-2.5,Partly Cloudy,37,981,39,30,11,6,19
178,2023-03-30,London,Fall,19.5,17.1,Partly Cloudy,83,1018,32,62,29,4,26
179,2023-04-04,London,Fall,17.0,14.6,Partly Cloudy,31,988,32,25,19,6,12
180,2023-04-09,Paris,Summer,32.4,34.6,Sunny,85,998,13,17,2,7,10
181,2023-04-14,Berlin,Spring,15.3,11.9,Rainy,90,995,37,81,96,2,4
182,2023-04-19,Sydney,Summer,40.7,40.7,Cloudy,51,1004,9,56,46,2,12
183,2023-04-24,New York,Summer,29.5,28.1,Sunny,64,1027,27,6,7,7,20
184,2023-04-29,New York,Winter,7.6,7.6,Partly Cloudy,45,997,13,47,5,6,11
185,2023-05-04,Tokyo,Winter,5.5,2.5,Cloudy,79,1002,35,79,52,4,8
186,2023-05-09,London,Winter,10.9,7.5,Partly Cloudy,72,1000,37,59,20,5,11
187,2023-05-14,Sydney,Spring,19.1,19.1,Partly Cloudy,46,990,15,32,27,5,20
188,2023-05-19,Singapore,Winter,23.0,25.6,Sunny,87,1018,20,2,7,9,29
189,2023-05-24,Paris,Winter,-1.0,-2.4,Sunny,31,1020,27,3,2,7,26
190,2023-05-29,Berlin,Spring,20.2,17.8,Cloudy,33,983,32,99,53,3,14
191,2023-06-03,Mumbai,Spring,26.8,26.8,Sunny,68,1004,5,3,6,10,14
192,2023-06-08,Berlin,Fall,-3.0,-7.0,Partly Cloudy,35,1011,40,41,14,5,12
193,2023-06-13,Toronto,Winter,-6.0,-6.0,Sunny,49,1009,14,8,4,9,18
194,2023-06-18,New York,Winter,6.1,1.5,Cloudy,93,1024,43,50,20,3,8
195,2023-06-23,Paris,Winter,7.5,7.5,Sunny,45,1005,2,16,1,10,11
196,2023-06-28,Toronto,Fall,11.7,7.3,Sunny,80,1015,42,16,2,8,28
197,2023-07-03,Sydney,Winter,5.2,0.0,Cloudy,66,1013,46,96,41,4,5
198,2023-07-08,Mumbai,Fall,23.1,20.4,Sunny,71,988,34,19,0,7,21
199,2023-07-13,London,Summer,19.5,19.5,Sunny,86,991,13,13,7,8,29
200,2023-07-18,Paris,Fall,7.0,7.0,Partly Cloudy,38,981,1,21,22,7,18
201,2023-07-23,Paris,Summer,20.1,22.0,Cloudy,93,1017,28,51,40,4,11
202,2023-07-28,New York,Winter,-1.6,-1.6,Partly Cloudy,51,984,3,26,12,7,13
203,2023-08-02,Dubai,Summer,50.0,49.0,Partly Cloudy,63,984,25,42,25,4,27
204,2023-08-07,Paris,Fall,17.9,17.9,Sunny,84,1001,11,2,7,11,25
205,2023-08-12,Tokyo,Spring,23.2,23.2,Cloudy,58,984,1,87,49,4,9
206,2023-08-17,Mumbai,Summer,39.2,39.2,Cloudy,67,983,16,93,41,4,12
207,2023-08-22,Mumbai,Summer,50.0,47.2,Sunny,47,988,34,7,6,11,19
208,2023-08-27,Tokyo,Winter,10.0,10.0,Rainy,94,1008,9,85,99,2,3
209,2023-09-01,Singapore,Fall,16.3,10.9,Cloudy,30,1001,47,88,32,2,10
210,2023-09-06,Tokyo,Summer,34.4,34.2,Sunny,33,1006,21,9,4,10,21
211,2023-09-11,Tokyo,Summer,27.4,23.4,Partly Cloudy,33,989,40,28,14,6,20
212,2023-09-16,Mumbai,Summer,33.4,29.0,Partly Cloudy,56,995,42,39,11,4,14
213,2023-09-21,Berlin,Summer,20.6,20.9,Cloudy,72,1021,20,64,28,4,8
214,2023-09-26,Mumbai,Spring,38.5,41.2,Partly Cloudy,88,1021,14,20,18,4,20
215,2023-10-01,Dubai,Fall,31.3,28.5,Partly Cloudy,61,989,34,23,10,4,25
216,2023-10-06,New York,Winter,10.6,5.2,Cloudy,62,985,47,72,29,1,10
217,2023-10-11,Toronto,Winter,-4.8,-4.8,Cloudy,57,1028,20,59,52,3,7
218,2023-10-16,Berlin,Spring,22.4,24.5,Partly Cloudy,84,984,20,25,15,4,27
219,2023-10-21,London,Fall,3.2,3.2,Sunny,89,985,20,8,7,10,10
220,2023-10-26,Toronto,Summer,38.9,37.4,Sunny,91,1026,43,19,5,8,26
221,2023-10-31,New York,Spring,13.9,11.7,Cloudy,63,1004,31,55,36,3,8
222,2023-11-05,Dubai,Fall,29.8,32.0,Rainy,85,1029,4,98,95,0,7
223,2023-11-10,Dubai,Summer,36.3,32.7,Partly Cloudy,42,983,38,35,10,6,18
224,2023-11-15,London,Spring,11.2,11.2,Partly Cloudy,85,1019,8,35,19,5,13
225,2023-11-20,Berlin,Fall,5.9,5.9,Partly Cloudy,47,1027,17,72,14,4,16
226,2023-11-25,Singapore,Winter,24.0,26.0,Partly Cloudy,83,1011,20,21,21,6,20
227,2023-11-30,Tokyo,Winter,-0.3,-0.3,Sunny,72,1014,7,0,9,7,12
228,2023-12-05,Berlin,Fall,5.3,0.7,Cloudy,68,989,43,68,24,1,10
229,2023-12-10,Singapore,Winter,25.4,25.8,Rainy,90,1013,33,72,78,2,5
230,2023-12-15,Dubai,Fall,25.7,25.8,Partly Cloudy,71,1015,9,36,11,7,16
231,2023-12-20,Mumbai,Summer,46.2,42.2,Cloudy,47,985,40,82,43,2,10
232,2023-12-25,New York,Fall,16.2,15.6,Partly Cloudy,52,1022,23,71,23,6,28
233,2023-12-30,London,Summer,38.7,36.9,Cloudy,83,1025,39,95,38,3,10
234,2024-01-04,New York,Spring,19.0,18.4,Sunny,59,995,23,12,2,11,25
235,2024-01-09,Sydney,Fall,25.1,25.5,Rainy,87,998,31,83,89,1,3
236,2024-01-14,Sydney,Spring,21.1,18.7,Cloudy,47,1013,32,99,57,4,14
237,2024-01-19,Berlin,Winter,2.2,-1.2,Partly Cloudy,36,1004,37,42,10,6,10
238,2024-01-24,Dubai,Summer,45.2,40.6,Partly Cloudy,69,1010,43,36,19,4,17
239,2024-01-29,Dubai,Fall,38.6,36.6,Cloudy,94,1028,48,93,54,2,7
240,2024-02-03,Tokyo,Spring,12.7,10.1,Cloudy,78,1020,33,73,41,3,12
241,2024-02-08,Tokyo,Summer,25.3,27.0,Rainy,81,996,10,94,70,1,4
242,2024-02-13,Tokyo,Summer,25.7,23.7,Partly Cloudy,58,1026,30,24,12,4,11
243,2024-02-18,Mumbai,Winter,15.9,15.9,Cloudy,50,1009,17,92,46,1,12
244,2024-02-23,Toronto,Winter,7.9,7.5,Cloudy,38,1018,22,87,48,2,7
245,2024-02-28,Paris,Summer,24.5,25.2,Partly Cloudy,76,1010,21,20,27,4,27
246,2024-03-04,Toronto,Summer,30.0,25.8,Partly Cloudy,71,998,42,40,27,4,29
247,2024-03-09,New York,Fall,17.5,17.5,Cloudy,80,1014,17,72,27,2,13
248,2024-03-14,Toronto,Summer,20.3,18.8,Partly Cloudy,85,1008,39,41,27,5,24
249,2024-03-19,Mumbai,Fall,17.6,12.4,Partly Cloudy,80,980,46,41,20,7,26
250,2024-03-24,New York,Summer,21.1,17.1,Sunny,49,983,40,1,2,9,27
251,2024-03-29,Toronto,Winter,0.5,-4.7,Cloudy,56,1007,46,67,27,4,6
252,2024-04-03,Mumbai,Fall,15.4,11.8,Sunny,67,997,38,7,7,10,18
253,2024-04-08,Paris,Spring,18.1,18.1,Rainy,94,1005,19,95,92,2,3
254,2024-04-13,Toronto,Winter,-1.8,-1.8,Cloudy,83,1019,12,60,24,2,9
255,2024-04-18,Mumbai,Fall,27.8,23.0,Sunny,53,998,44,13,4,7,20
256,2024-04-23,Tokyo,Fall,12.5,12.5,Partly Cloudy,76,985,0,76,21,4,13
257,2024-04-28,Dubai,Spring,45.6,48.9,Partly Cloudy,92,980,3,20,26,5,19
258,2024-05-03,Tokyo,Fall,12.9,12.3,Partly Cloudy,86,987,23,23,18,5,13
259,2024-05-08,Dubai,Summer,45.3,44.4,Partly Cloudy,84,1012,35,49,10,5,12
260,2024-05-13,London,Spring,21.8,21.7,Rainy,89,1022,35,81,91,0,2
261,2024-05-18,London,Winter,-10.8,-15.6,Partly Cloudy,91,1000,44,44,18,7,25
262,2024-05-23,London,Winter,-0.8,-0.8,Cloudy,59,1003,1,63,39,4,9
263,2024-05-28,Paris,Summer,31.7,30.3,Cloudy,51,1004,27,63,41,4,13
264,2024-06-02,Tokyo,Winter,7.8,6.8,Partly Cloudy,58,1026,25,25,26,6,10
265,2024-06-07,Dubai,Fall,31.2,30.8,Partly Cloudy,70,1022,22,31,5,7,19
266,2024-06-12,Mumbai,Fall,29.0,29.2,Cloudy,71,998,14,56,24,3,12
267,2024-06-17,New York,Summer,27.1,27.7,Cloudy,94,1008,35,52,37,1,6
268,2024-06-22,Mumbai,Winter,17.9,16.7,Partly Cloudy,60,989,26,32,18,6,24
269,2024-06-27,New York,Winter,-1.8,-1.8,Cloudy,59,991,5,51,26,2,12
270,2024-07-02,Sydney,Summer,32.4,29.6,Cloudy,47,1012,34,94,48,2,8
271,2024-07-07,Mumbai,Spring,27.4,23.8,Sunny,46,986,38,17,8,11,25
272,2024-07-12,Toronto,Winter,15.2,11.8,Partly Cloudy,67,996,37,34,19,7,11
273,2024-07-17,Toronto,Spring,7.8,5.0,Sunny,43,989,34,11,8,11,22
274,2024-07-22,Berlin,Winter,2.2,-0.8,Cloudy,85,1010,35,50,26,2,6
275,2024-07-27,Tokyo,Winter,-0.2,-0.2,Cloudy,51,985,9,88,26,4,10
276,2024-08-01,New York,Winter,15.9,14.1,Rainy,85,996,29,94,65,1,4
277,2024-08-06,New York,Winter,-4.2,-8.2,Sunny,48,1029,40,9,4,7,20
278,2024-08-11,Tokyo,Fall,15.2,11.8,Cloudy,86,1016,37,51,59,4,14
279,2024-08-16,Paris,Spring,19.1,17.5,Partly Cloudy,73,997,28,33,28,4,12
280,2024-08-21,Berlin,Spring,8.0,3.6,Cloudy,64,1005,42,66,46,2,13
281,2024-08-26,Paris,Winter,5.9,2.3,Partly Cloudy,30,1028,38,38,8,7,14
282,2024-08-31,Paris,Winter,0.3,-5.5,Sunny,81,995,49,7,0,8,23
283,2024-09-05,Paris,Spring,12.0,12.0,Cloudy,66,987,3,95,25,4,11
284,2024-09-10,Tokyo,Fall,8.3,8.3,Partly Cloudy,94,1003,4,28,5,6,21
285,2024-09-15,Paris,Summer,27.8,29.3,Partly Cloudy,80,992,3,21,25,6,27
286,2024-09-20,Toronto,Summer,23.7,20.7,Cloudy,30,1008,35,83,24,2,12
287,2024-09-25,London,Spring,19.6,14.8,Cloudy,50,1011,44,69,38,1,13
288,2024-09-30,Sydney,Winter,2.3,2.3,Partly Cloudy,82,1003,15,60,9,6,20
289,2024-10-05,New York,Winter,0.9,0.1,Partly Cloudy,45,995,24,42,26,6,27
290,2024-10-10,New York,Fall,9.3,9.3,Partly Cloudy,90,990,13,48,9,7,11
291,2024-10-15,Sydney,Summer,36.6,38.6,Partly Cloudy,83,1011,10,28,21,7,29
292,2024-10-20,Tokyo,Fall,20.7,19.1,Cloudy,69,985,28,80,50,4,12
